Date,Open,High,Low,Close,Volume,Open_N,High_N,Low_N,Close_N,Volume_N
2007-10-12,14016.3,14101.8,14013.7,14093.1,178740906,0.634709234,0.634972405,0.639159474,0.64137968,0.205869273
2007-10-15,14092.4,14118.5,13904.3,13984.8,220489550,0.641175896,0.636406898,0.629890338,0.632174676,0.265104203
2007-10-16,13986.3,13992,13877.9,13912.9,229921013,0.632159959,0.625540834,0.627653544,0.626063505,0.278486004
2007-10-17,13920.7,14012.8,13774.7,13892.5,315415892,0.626585543,0.627327507,0.618909716,0.624329599,0.399790141
2007-10-18,13887.9,13913.8,13820.3,13889,205541787,0.623798335,0.61882363,0.622773268,0.624032115,0.243895617
2007-10-19,13888.5,13888.5,13511.9,13522,332353841,0.623849321,0.616650418,0.596643454,0.592838796,0.423822496
2007-10-22,13521.6,13587.2,13407.5,13567,229435577,0.592671683,0.590769429,0.587797953,0.59666359,0.277797245
2007-10-23,13568.9,13684.6,13540.9,13676.2,206548814,0.596691041,0.599135869,0.599100538,0.60594509,0.245324434
2007-10-24,13675.6,13690.5,13470.2,13675.2,259154345,0.605757963,0.599642665,0.593110337,0.605860094,0.319963624
2007-10-25,13677.8,13741.2,13547.6,13671.9,274330541,0.60594491,0.603997681,0.599668209,0.605579609,0.341496322
2007-10-26,13675.7,13811.2,13675.2,13806.7,311391360,0.605766461,0.610010522,0.610479377,0.617036992,0.394079947
2007-10-29,13807.3,13901.4,13805.3,13870.2,207932750,0.616949282,0.617758499,0.621502363,0.622434201,0.247288028
2007-10-30,13869,13869.3,13778.4,13792.5,189732672,0.622192292,0.615001181,0.619223206,0.615830057,0.221464905
2007-10-31,13792,13962.5,13767.7,13930,277658230,0.615649152,0.62300685,0.618316627,0.627516927,0.346217803
2007-11-01,13924.2,13924.2,13548.9,13567.9,335561344,0.626882959,0.619716967,0.599778354,0.596740086,0.428373452
2007-11-02,13569.9,13632.9,13446,13595.1,279780544,0.596776016,0.594694956,0.591059944,0.599051961,0.349229041
2007-11-05,13592.6,13618.3,13446.9,13543.4,259588906,0.598704968,0.593440849,0.591136198,0.594657698,0.3205802
